shell.number,treatment,G,OmegaAragonite,duration,shell.wt,shell.length
105,shell.californianus,0.013269396,8.538832689,111.8,11.31,NA
106,shell.californianus,-0.054563111,0.445417088,114.1333333,11.12,NA
107,shell.californianus,-0.067632881,0.314455864,114.2166667,11.97,NA
108,shell.californianus,-0.081057863,0.448683977,114.3333333,9.78,NA
109,shell.californianus,0.008333395,5.379373541,113.9666667,9.29,NA
110,shell.californianus,-0.05740988,0.446227361,114.55,10.02,NA
111,shell.californianus,0.009796287,6.246295405,113.8666667,7.35,NA
112,shell.californianus,-0.036598074,0.796635502,114.7166667,11,NA
113,shell.californianus,0.008733201,6.724328368,113.7833333,11.61,NA
114,shell.californianus,-0.021061897,0.947883556,114.85,25.47,NA
115,shell.californianus,-0.00533017,1.98222273,114.9833333,14.37,NA
116,shell.californianus,0.00638679,6.532553187,115.1,8.75,NA
117,shell.californianus,-0.004257373,1.934822648,115.2,19.7,NA
118,shell.californianus,0.002111401,3.360154079,115.3833333,8.5,NA
119,shell.californianus.painted,-0.004106698,1.049960575,53.2,11.04205464,55.63
120,shell.californianus.painted,-0.002668771,0.472308904,53.15,7.939694153,48.427
121,shell.californianus.painted,-0.017826792,0.480030036,52.93333333,12.87653592,59.425
122,shell.californianus.painted,-0.011646395,0.480066908,52.91666667,10.70454415,54.899
123,shell.californianus.painted,-0.008034075,0.480805746,52.9,9.100566047,51.26
124,shell.californianus.painted,-0.008476884,0.633975562,52.81666667,10.93114244,55.391
125,shell.californianus.painted,-0.010172294,0.635127894,48,9.476815607,52.14
126,shell.californianus.painted,-0.009486705,0.644726472,47.93333333,8.565717713,49.978
127,shell.californianus.painted,-0.009823285,0.640887362,47.88333333,9.290756438,51.707
128,shell.californianus.painted,-0.002250185,0.645215914,47.86666667,12.06537976,57.782
129,shell.californianus.painted,-0.005368256,0.633229163,47.81666667,9.364020128,51.878
130,shell.californianus.painted,-0.011087438,0.657279206,48.13333333,10.42681965,54.289
131,shell.californianus.painted,-0.008008472,0.65604578,48.1,11.65970508,56.94
132,shell.californianus.painted,-0.009375999,0.656887983,48.08333333,7.889059677,48.299
133,shell.californianus.painted,-0.009325939,0.665608699,48.06666667,10.78993667,55.085
134,shell.californianus.painted,-0.012127227,0.675338719,48.06666667,11.73770806,57.103
135,shell.californianus.painted,-0.007285363,0.672297395,48.05,15.52507455,64.463
136,shell.californianus.painted,-0.006967698,0.677202842,48.06666667,8.231066445,49.156
137,shell.californianus.painted,-0.006879688,0.67849815,48.03333333,13.21220245,60.09
138,shell.californianus.painted,-0.009168034,0.681480996,48.03333333,13.36246393,60.385
139,shell.californianus.painted,-0.003368463,0.682310257,47.93333333,7.930188231,48.403
140,shell.californianus.painted,-0.0091065,0.679220215,47.95,9.342997799,51.829
141,shell.californianus.painted,-0.005749451,0.689233707,47.91666667,10.87796968,55.276
142,shell.californianus.painted,-0.005999717,0.691736648,47.91666667,9.168423146,51.42
143,shell.californianus.painted,-0.009209145,0.513655275,47.95,10.22153805,53.833
